MatrixSize,Threads,Method,TimeSeconds,GFLOPS,Speedup,Efficiency
256,1,IJK,0.057606,0.582482,1,100
256,2,IJK,0.0284602,1.17899,2.02409,101.204
256,4,IJK,0.0147849,2.2695,3.89626,97.4065
256,8,IJK,0.0135447,2.47731,4.25302,53.1628
256,16,IJK,0.00972582,3.45004,5.92299,37.0187
256,1,IKJ,0.0550361,0.609681,1,100
256,2,IKJ,0.030126,1.1138,1.82686,91.343
256,4,IKJ,0.0145407,2.30761,3.78496,94.6239
256,8,IKJ,0.0125006,2.68424,4.40269,55.0336
256,16,IKJ,0.00916818,3.65988,6.00294,37.5184
256,1,JIK,0.0612865,0.547501,1,100
256,2,JIK,0.0284672,1.1787,2.15288,107.644
256,4,JIK,0.0149096,2.25053,4.11055,102.764
256,8,JIK,0.0121092,2.77099,5.06116,63.2645
256,16,JIK,0.0101693,3.29957,6.0266,37.6663
256,1,JKI,0.0628862,0.533574,1,100
256,2,JKI,0.0296752,1.13072,2.11915,105.958
256,4,JKI,0.0152901,2.19451,4.11286,102.822
256,8,JKI,0.0138034,2.43089,4.55586,56.9482
256,16,JKI,0.0116132,2.88934,5.41507,33.8442
256,1,Blocked,0.0762879,0.43984,1,100
256,2,Blocked,0.0318078,1.05491,2.3984,119.92
256,4,Blocked,0.0159187,2.10787,4.79236,119.809
256,8,Blocked,0.0149542,2.24382,5.10145,63.7681
256,16,Blocked,0.00943478,3.55646,8.08581,50.5363
512,1,IJK,0.515238,0.520993,1,100
512,2,IJK,0.236358,1.13571,2.1799,108.995
512,4,IJK,0.120057,2.2359,4.29161,107.29
512,8,IJK,0.099412,2.70023,5.18286,64.7857
512,16,IJK,0.0788172,3.4058,6.53712,40.857
512,1,IKJ,0.512429,0.523849,1,100
512,2,IKJ,0.223274,1.20227,2.29507,114.754
512,4,IKJ,0.115054,2.33313,4.45382,111.346
512,8,IKJ,0.0903593,2.97076,5.67102,70.8877
512,16,IKJ,0.0722936,3.71313,7.08817,44.3011
512,1,JIK,0.531916,0.504658,1,100
512,2,JIK,0.224498,1.19572,2.36936,118.468
512,4,JIK,0.115993,2.31424,4.58576,114.644
512,8,JIK,0.0921587,2.91275,5.77174,72.1467
512,16,JIK,0.0812427,3.30412,6.54725,40.9203
512,1,JKI,0.604898,0.44377,1,100
512,2,JKI,0.253028,1.06089,2.39064,119.532
512,4,JKI,0.134354,1.99798,4.50228,112.557
512,8,JKI,0.10289,2.60894,5.87905,73.4881
512,16,JKI,0.103247,2.59994,5.85875,36.6172
512,1,Blocked,0.599588,0.4477,1,100
512,2,Blocked,0.245938,1.09147,2.43796,121.898
512,4,Blocked,0.126748,2.11786,4.73055,118.264
512,8,Blocked,0.0959387,2.79799,6.2497,78.1212
512,16,Blocked,0.077849,3.44816,7.70194,48.1371
1024,1,IJK,4.87294,0.440696,1,100
1024,2,IJK,2.02474,1.06062,2.4067,120.335
1024,4,IJK,2.03826,1.05359,2.39074,59.7684
1024,8,IJK,0.699046,3.07202,6.97084,87.1355
1024,16,IJK,0.694866,3.0905,7.01278,43.8299
1024,1,IKJ,5.15616,0.416489,1,100
1024,2,IKJ,1.78216,1.20499,2.89321,144.66
1024,4,IKJ,0.908626,2.36344,5.67468,141.867
1024,8,IKJ,0.642908,3.34027,8.02006,100.251
1024,16,IKJ,0.598505,3.58808,8.61507,53.8442
1024,1,JIK,4.25734,0.504419,1,100
1024,2,JIK,1.80121,1.19225,2.3636,118.18
1024,4,JIK,1.92509,1.11552,2.21151,55.2876
1024,8,JIK,0.686103,3.12997,6.20511,77.5639
1024,16,JIK,0.680094,3.15763,6.25994,39.1246
1024,1,JKI,7.73065,0.277788,1,100
1024,2,JKI,2.5782,0.832939,2.99847,149.923
1024,4,JKI,1.33046,1.61409,5.81052,145.263
1024,8,JKI,0.936061,2.29417,8.2587,103.234
1024,16,JKI,0.996356,2.15534,7.75892,48.4933
1024,1,Blocked,6.15143,0.349103,1,100
1024,2,Blocked,1.96949,1.09038,3.12337,156.168
1024,4,Blocked,1.02104,2.10323,6.02466,150.617
1024,8,Blocked,0.7501,2.86293,8.20081,102.51
1024,16,Blocked,0.611198,3.51357,10.0645,62.9034
2048,1,IJK,77.3671,0.222056,1,100
2048,2,IJK,36.7511,0.467466,2.10517,105.258
2048,4,IJK,16.6385,1.03253,4.64988,116.247
2048,8,IJK,10.3369,1.662,7.48459,93.5574
2048,16,IJK,7.33648,2.3417,10.5455,65.9096
2048,1,IKJ,32.389,0.530424,1,100
2048,2,IKJ,15.4314,1.1133,2.0989,104.945
2048,4,IKJ,8.38628,2.04857,3.86214,96.5534
2048,8,IKJ,6.27361,2.73843,5.16273,64.5341
2048,16,IKJ,4.87052,3.52732,6.65,41.5625
2048,1,JIK,36.2373,0.474094,1,100
2048,2,JIK,17.553,0.978743,2.06445,103.223
2048,4,JIK,8.69281,1.97633,4.16865,104.216
2048,8,JIK,6.05997,2.83498,5.97978,74.7473
2048,16,JIK,7.28247,2.35907,4.97596,31.0998
2048,1,JKI,74.77,0.22977,1,100
2048,2,JKI,33.6185,0.511025,2.22408,111.204
2048,4,JKI,14.8602,1.1561,5.03157,125.789
2048,8,JKI,11.2661,1.52491,6.6367,82.9588
2048,16,JKI,11.5375,1.48905,6.48061,40.5038
2048,1,Blocked,35.0411,0.490278,1,100
2048,2,Blocked,17.6994,0.970646,1.97979,98.9894
2048,4,Blocked,9.18415,1.8706,3.81539,95.3846
2048,8,Blocked,6.55874,2.61939,5.34266,66.7832
2048,16,Blocked,4.91895,3.49259,7.12369,44.523
