MatrixSize,Method,Threads,Speedup,Efficiency
256,IJK,1,1,100
256,IJK,2,2.02409,101.204
256,IJK,4,3.89626,97.4065
256,IJK,8,4.25302,53.1628
256,IJK,16,5.92299,37.0187
256,IKJ,1,1,100
256,IKJ,2,1.82686,91.343
256,IKJ,4,3.78496,94.6239
256,IKJ,8,4.40269,55.0336
256,IKJ,16,6.00294,37.5184
256,JIK,1,1,100
256,JIK,2,2.15288,107.644
256,JIK,4,4.11055,102.764
256,JIK,8,5.06116,63.2645
256,JIK,16,6.0266,37.6663
256,JKI,1,1,100
256,JKI,2,2.11915,105.958
256,JKI,4,4.11286,102.822
256,JKI,8,4.55586,56.9482
256,JKI,16,5.41507,33.8442
256,Blocked,1,1,100
256,Blocked,2,2.3984,119.92
256,Blocked,4,4.79236,119.809
256,Blocked,8,5.10145,63.7681
256,Blocked,16,8.08581,50.5363
512,IJK,1,1,100
512,IJK,2,2.1799,108.995
512,IJK,4,4.29161,107.29
512,IJK,8,5.18286,64.7857
512,IJK,16,6.53712,40.857
512,IKJ,1,1,100
512,IKJ,2,2.29507,114.754
512,IKJ,4,4.45382,111.346
512,IKJ,8,5.67102,70.8877
512,IKJ,16,7.08817,44.3011
512,JIK,1,1,100
512,JIK,2,2.36936,118.468
512,JIK,4,4.58576,114.644
512,JIK,8,5.77174,72.1467
512,JIK,16,6.54725,40.9203
512,JKI,1,1,100
512,JKI,2,2.39064,119.532
512,JKI,4,4.50228,112.557
512,JKI,8,5.87905,73.4881
512,JKI,16,5.85875,36.6172
512,Blocked,1,1,100
512,Blocked,2,2.43796,121.898
512,Blocked,4,4.73055,118.264
512,Blocked,8,6.2497,78.1212
512,Blocked,16,7.70194,48.1371
1024,IJK,1,1,100
1024,IJK,2,2.4067,120.335
1024,IJK,4,2.39074,59.7684
1024,IJK,8,6.97084,87.1355
1024,IJK,16,7.01278,43.8299
1024,IKJ,1,1,100
1024,IKJ,2,2.89321,144.66
1024,IKJ,4,5.67468,141.867
1024,IKJ,8,8.02006,100.251
1024,IKJ,16,8.61507,53.8442
1024,JIK,1,1,100
1024,JIK,2,2.3636,118.18
1024,JIK,4,2.21151,55.2876
1024,JIK,8,6.20511,77.5639
1024,JIK,16,6.25994,39.1246
1024,JKI,1,1,100
1024,JKI,2,2.99847,149.923
1024,JKI,4,5.81052,145.263
1024,JKI,8,8.2587,103.234
1024,JKI,16,7.75892,48.4933
1024,Blocked,1,1,100
1024,Blocked,2,3.12337,156.168
1024,Blocked,4,6.02466,150.617
1024,Blocked,8,8.20081,102.51
1024,Blocked,16,10.0645,62.9034
2048,IJK,1,1,100
2048,IJK,2,2.10517,105.258
2048,IJK,4,4.64988,116.247
2048,IJK,8,7.48459,93.5574
2048,IJK,16,10.5455,65.9096
2048,IKJ,1,1,100
2048,IKJ,2,2.0989,104.945
2048,IKJ,4,3.86214,96.5534
2048,IKJ,8,5.16273,64.5341
2048,IKJ,16,6.65,41.5625
2048,JIK,1,1,100
2048,JIK,2,2.06445,103.223
2048,JIK,4,4.16865,104.216
2048,JIK,8,5.97978,74.7473
2048,JIK,16,4.97596,31.0998
2048,JKI,1,1,100
2048,JKI,2,2.22408,111.204
2048,JKI,4,5.03157,125.789
2048,JKI,8,6.6367,82.9588
2048,JKI,16,6.48061,40.5038
2048,Blocked,1,1,100
2048,Blocked,2,1.97979,98.9894
2048,Blocked,4,3.81539,95.3846
2048,Blocked,8,5.34266,66.7832
2048,Blocked,16,7.12369,44.523
